Section,W,A,d,bf,tw,tf,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
W1100X499,499.0,63500,1120,404,26.2,45,65,12900.0,26500.0,23100.0,452.0,499.0,3870.0,2460.0,88.6,31100,144000
W1100X433,433.0,55100,1110,401,22,40.1,59.9,11200.0,23100.0,20300.0,452.0,433.0,3360.0,2160.0,88.6,21200,124000
W1100X390,390.0,49800,1100,401,19.9,36.1,55.9,10000.0,20800.0,18200.0,450.0,384.0,2980.0,1920.0,88.1,15500,109000
W1100X343,343.0,43700,1090,401,18,31,51.1,8660.0,18000.0,15900.0,445.0,331.0,2570.0,1660.0,87.1,10400,92900
W1000X976,975.0,125000,1110,429,50,89.9,120,23500.0,50500.0,42500.0,434.0,1190.0,8880.0,5570.0,98.0,245000,309000
W1000X883,883.0,112000,1090,424,45.5,82,112,21000.0,45200.0,38300.0,432.0,1050.0,7880.0,4950.0,96.5,185000,268000
W1000X748,748.0,95500,1070,417,39.1,70.1,100,17300.0,38000.0,32400.0,427.0,849.0,6460.0,4080.0,94.5,115000,212000
W1000X642,642.0,81900,1050,411,34,59.9,89.9,14500.0,32100.0,27700.0,422.0,703.0,5370.0,3410.0,92.7,73700,171000
W1000X591,591.0,75500,1040,409,31,55.9,85.9,13300.0,29500.0,25600.0,422.0,641.0,4920.0,3130.0,92.5,59100,155000
W1000X554,554.0,71000,1030,409,29.5,52.1,82,12300.0,27500.0,23900.0,419.0,591.0,4540.0,2900.0,91.4,48300,142000
W1000X539,539.0,68400,1030,406,28.4,51.1,81,12000.0,26900.0,23300.0,419.0,574.0,4420.0,2830.0,91.4,45400,138000
W1000X483,483.0,61500,1020,404,25.4,46,75.9,10700.0,23900.0,21000.0,417.0,508.0,3920.0,2510.0,90.9,33000,120000
W1000X443,443.0,56300,1010,401,23.6,41.9,71.9,9660.0,21800.0,19200.0,414.0,454.0,3520.0,2260.0,89.9,25500,107000
W1000X412,412.0,52600,1010,401,21.1,40.1,70.1,9120.0,20500.0,18000.0,417.0,433.0,3340.0,2160.0,90.9,21400,102000
W1000X371,371.0,47400,1000,401,19.1,36.1,66,8160.0,18400.0,16300.0,414.0,385.0,2980.0,1930.0,90.2,15900,89700
W1000X321,321.0,41000,991,401,16.5,31,61,6950.0,15800.0,14100.0,411.0,334.0,2560.0,1660.0,89.9,10300,76300
W1000X296,296.0,37900,983,401,16.5,27.2,57.2,6200.0,14200.0,12600.0,406.0,289.0,2250.0,1450.0,87.6,7620,66100
W1000X584,584.0,74800,1060,315,36.1,64,94,12400.0,28000.0,23600.0,409.0,334.0,3470.0,2130.0,67.1,71600,82200
W1000X494,494.0,63000,1040,310,31,54.1,84.1,10300.0,23400.0,19800.0,404.0,268.0,2820.0,1740.0,65.3,43700,64700
W1000X486,486.0,61900,1040,307,30,54.1,84.1,10200.0,23100.0,19700.0,406.0,266.0,2790.0,1720.0,65.5,42900,64200
W1000X438,438.0,55600,1030,305,26.9,49,79,9120.0,20800.0,17700.0,404.0,234.0,2460.0,1530.0,64.8,31900,55900
W1000X415,415.0,53100,1020,305,26.2,46,75.9,8530.0,19500.0,16700.0,401.0,217.0,2290.0,1430.0,64.0,27100,51600
W1000X393,393.0,49900,1020,302,24.4,43.9,73.9,8070.0,18500.0,15900.0,401.0,205.0,2160.0,1350.0,64.0,23400,48600
W1000X350,350.0,44600,1010,302,21.1,40.1,70.1,7240.0,16600.0,14300.0,404.0,185.0,1930.0,1220.0,64.5,17200,43200
